0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:51:40 +0545] "GET /Tender-App/admin/home.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:51:41 +0545] "GET /Tender-App/admin/add_notices.jsp HTTP/1.1" 200 4966
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:04 +0545] "POST /Tender-App/add_notices HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:04 +0545] "GET /Tender-App/admin/add_notices.jsp HTTP/1.1" 200 4990
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:06 +0545] "GET /Tender-App/admin/home.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:17 +0545] "GET /Tender-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:17 +0545] "GET /Tender-App/login.jsp HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:28 +0545] "POST /Tender-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:28 +0545] "GET /Tender-App/index.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:33 +0545] "GET /Tender-App/Viewall.jsp HTTP/1.1" 200 7188
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:37 +0545] "GET /Tender-App/cart?tid=5&&uid=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:37 +0545] "GET /Tender-App/Viewall.jsp HTTP/1.1" 200 7450
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:41 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 10108
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:49 +0545] "GET /Tender-App/remove_utender?tid=3&&uid=11&&cid=19 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:49 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 9651
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:50 +0545] "GET /Tender-App/remove_utender?tid=2&&uid=11&&cid=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:50 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:51 +0545] "GET /Tender-App/remove_utender?tid=1&&uid=11&&cid=17 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:52:51 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 8475
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:34 +0545] "POST /Tender-App/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:34 +0545] "GET /Tender-App/order_success.jsp HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:37 +0545] "GET /Tender-App/order.jsp HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:47 +0545] "GET /Tender-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:47 +0545] "GET /Tender-App/login.jsp HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:53 +0545] "POST /Tender-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:53 +0545] "GET /Tender-App/admin/home.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:53:56 +0545] "GET /Tender-App/admin/bids.jsp HTTP/1.1" 200 11004
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:11 +0545] "GET /Tender-App/admin/comment.jsp?id=8 HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:22 +0545] "POST /Tender-App/update_status HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:22 +0545] "GET /Tender-App/admin/bids.jsp HTTP/1.1" 200 10973
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:35 +0545] "GET /Tender-App/admin/forum_answer.jsp HTTP/1.1" 200 12287
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:39 +0545] "GET /Tender-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:39 +0545] "GET /Tender-App/login.jsp HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:52 +0545] "POST /Tender-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:52 +0545] "GET /Tender-App/index.jsp HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:54:56 +0545] "GET /Tender-App/forum.jsp HTTP/1.1" 200 9610
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:55:18 +0545] "POST /Tender-App/forum HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:55:18 +0545] "GET /Tender-App/forum.jsp HTTP/1.1" 200 10267
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:55:22 +0545] "GET /Tender-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:20:55:22 +0545] "GET /Tender-App/login.jsp HTTP/1.1" 200 4932
