127.0.0.1 - - [01/Feb/2024:23:27:52 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:27:53 +0545] "GET /Tender-App/ HTTP/1.1" 200 11375
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:27:53 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:27:53 +0545] "GET /Tender-App/img/books/java.jpg HTTP/1.1" 200 40757
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:27:54 +0545] "GET /Tender-App/img/b.jpeg HTTP/1.1" 200 210329
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:28:16 +0545] "GET /Tender-App/login.jsp HTTP/1.1" 200 4561
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:28:22 +0545] "GET /Tender-App/register.jsp HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:29:45 +0545] "GET /Tender-App/ HTTP/1.1" 200 11372
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:33:54 +0545] "GET /Tender-App/ HTTP/1.1" 200 11372
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:31 +0545] "GET /Tender-App/ HTTP/1.1" 200 11372
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:31 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:31 +0545] "GET /Tender-App/img/books/java.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:43 +0545] "GET /Tender-App/ HTTP/1.1" 200 11372
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:43 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:43 +0545] "GET /Tender-App/img/books/java.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:34:43 +0545] "GET /Tender-App/img/b.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:35:14 +0545] "GET /Tender-App/ HTTP/1.1" 200 11390
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:35:14 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:35:14 +0545] "GET /Tender-App/img/books/java.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:35:14 +0545] "GET /Tender-App/img/b.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:37:31 +0545] "GET /Tender-App/ HTTP/1.1" 200 11359
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:37:31 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:37:31 +0545] "GET /Tender-App/img/books/java.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:37:31 +0545] "GET /Tender-App/img/b.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:41:30 +0545] "GET /Tender-App/ HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [01/Feb/2024:23:41:30 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
