127.0.0.1 - - [15/Feb/2024:23:56:08 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:10 +0545] "GET /Tender-App/ HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:10 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:10 +0545] "GET /Tender-App/img/Tender-01.png HTTP/1.1" 200 63649
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:10 +0545] "GET /Tender-App/img/news.jpeg HTTP/1.1" 200 128530
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:30 +0545] "GET /Tender-App/ HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:30 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:30 +0545] "GET /Tender-App/img/Tender-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:56:30 +0545] "GET /Tender-App/img/news.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:36 +0545] "GET /Tender-App HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:36 +0545] "GET /Tender-App/ HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:36 +0545] "GET /Tender-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:37 +0545] "GET /Tender-App/img/news.jpeg HTTP/1.1" 200 128530
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:37 +0545] "GET /Tender-App/img/Tender-01.png HTTP/1.1" 200 63649
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:37 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:39 +0545] "GET /Tender-App/login.jsp HTTP/1.1" 200 4725
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:45 +0545] "POST /Tender-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:45 +0545] "GET /Tender-App/index.jsp HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:52 +0545] "GET /Tender-App/Viewall.jsp HTTP/1.1" 200 10078
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:54 +0545] "GET /Tender-App/cart?tid=19&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:54 +0545] "GET /Tender-App/Viewall.jsp HTTP/1.1" 200 10378
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:58:59 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:02 +0545] "GET /Tender-App/remove_utender?bid=19&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:02 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 6512
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:06 +0545] "GET /Tender-App/checkout.jsp HTTP/1.1" 200 6422
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:07 +0545] "GET /Tender-App/Vendorbid.jsp HTTP/1.1" 200 5048
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:09 +0545] "GET /Tender-App/Viewall.jsp HTTP/1.1" 200 10078
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:11 +0545] "GET /Tender-App/cart?tid=19&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:23:59:11 +0545] "GET /Tender-App/Viewall.jsp HTTP/1.1" 200 10378
